GAge	GCity	GCity_X	GCity_Y	GSex	GState	ID_LM	PersonNights	QCulture	QFood	QRoom	QSatisfaction	QService	SaturdayNights	Season	VFrom	VNights	VPersons	VPriceDeduction	VPriceFood	VPriceRoom	VPriceTotal	VTypeOfVisit	WSky	WTemperature	XEUR
66	Pilsen	13.3771556	49.7490406	female	CR	1	14	56	33	7	low	21	-1	-1	2012-01-07 00:00:00	7	2	200	2100	16940	18840	private	rain/snow	1.6	25.85
30	München	11.5836375	48.1364669	male	Germany	2	21	56	35	6	low	23	-1	-1	2012-01-14 00:00:00	7	3	200	3150	25410	28360	private	rain/snow	-10.7	25.44
62	Pilsen	13.3771556	49.7490406	female	CR	3	21	56	30	7	low	40	-1	-1	2012-01-14 00:00:00	7	3	200	3150	25410	28360	private	rain/snow	-10.7	25.44
39	Pilsen	13.3771556	49.7490406	male	CR	4	21	1	38	38	low	30	-1	-1	2012-01-14 00:00:00	7	3	200	0	25410	25210	private	rain/snow	-10.7	25.44
64	Pilsen	13.3771556	49.7490406	male	CR	5	21	2	36	40	low	23	-1	-1	2012-01-14 00:00:00	7	3	200	3150	25410	28360	private	rain/snow	-10.7	25.44
66	Hradec Králové	15.8353464	50.2100194	female	CR	6	21	55	33	29	low	14	-1	-1	2012-01-14 00:00:00	7	3	200	0	25410	25210	private	rain/snow	-10.7	25.44
39	Wien	16.3736767	48.2115631	male	Austria	7	21	71	40	32	low	40	-1	-1	2012-01-14 00:00:00	7	3	200	3150	25410	28360	private	rain/snow	-10.7	25.44
39	Pilsen	13.3771556	49.7490406	female	CR	8	21	71	26	24	low	40	-1	-1	2012-01-14 00:00:00	7	3	200	0	25410	25210	private	rain/snow	-10.7	25.44
22	Linz	14.2862742	48.3066489	male	Austria	9	21	36	65	49	average	56	-1	-1	2012-01-21 00:00:00	7	3	200	3150	25410	28360	private	sunny	-7.8	25.47
49	Pilsen	13.3771556	49.7490406	male	CR	10	14	3	26	22	low	38	-1	-1	2012-01-21 00:00:00	7	2	200	0	16940	16740	private	sunny	-7.8	25.47
53	Jihlava	15.5909008	49.3963828	male	CR	11	21	70	24	24	low	38	-1	-1	2012-01-21 00:00:00	7	3	200	3150	25410	28360	private	sunny	-7.8	25.47
31	Linz	14.2862742	48.3066489	male	Austria	12	7	46	55	60	average	43	-1	-1	2012-01-28 00:00:00	7	1	200	1050	8470	9320	private	cloudy	-2.1	25.16
50	Linz	14.2862742	48.3066489	male	Austria	13	21	59	57	52	average	59	-1	-1	2012-01-28 00:00:00	7	3	200	0	25410	25210	private	cloudy	-2.1	25.16
21	Hradec Králové	15.8353464	50.2100194	male	CR	14	63	22	91	81	high	63	-1	-1	2012-02-01 00:00:00	21	3	200	0	76230	76030	private	cloudy	2.8	25.15
42	Bratislava	17.1097606	48.1547933	male	Slovakia	15	8	57	56	34	average	55	-1	-1	2012-02-03 00:00:00	2	4	200	1200	9680	10680	private	cloudy	0.7	25.07
42	Linz	14.2862742	48.3066489	female	Austria	16	21	48	66	28	average	44	-1	-1	2012-02-04 00:00:00	7	3	200	3150	25410	28360	private	sunny	0.8	25.07
43	Linz	14.2862742	48.3066489	female	Austria	17	21	46	51	25	average	41	-1	-1	2012-02-04 00:00:00	7	3	200	3150	25410	28360	private	sunny	0.8	25.07
56	Linz	14.2862742	48.3066489	female	Austria	18	21	52	43	44	average	58	-1	-1	2012-02-04 00:00:00	7	3	200	0	25410	25210	private	sunny	0.8	25.07
